isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab
A/NewYork/648/1995	1995-12-14		A/H3N2		  	 Other Database Import
A/NewYork/555/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/623/1995	1995-12-29		A/H3N2		  	 Other Database Import
A/NewYork/733/1994	1994-02-07		A/H3N2		  	 Other Database Import
A/NewYork/599/1996	1996-12-16		A/H3N2		  	 Other Database Import
A/NewYork/602/1996	1996-12-23		A/H3N2		  	 Other Database Import
A/NewYork/557/1996	1996-11-21		A/H3N2		  	 Other Database Import
A/NewYork/559/1996	1996-11-25		A/H3N2		  	 Other Database Import
A/NewYork/692/1995	1995-01-18		A/H3N2		  	 Other Database Import
A/NewYork/695/1995	1995-03-02		A/H3N2		  	 Other Database Import
A/NewYork/696/1994	1994-12-30		A/H3N2		  	 Other Database Import
A/NewYork/697/1995	1995-02-10		A/H3N2		  	 Other Database Import
A/NewYork/698/1995	1995-01-31		A/H3N2		  	 Other Database Import
A/NewYork/702/1995	1995-01-09		A/H3N2		  	 Other Database Import
A/NewYork/703/1995	1995-01-24		A/H3N2		  	 Other Database Import
A/NewYork/708/1994	1994-01-11		A/H3N2		  	 Other Database Import
A/NewYork/732/1994	1994-01-06		A/H3N2		  	 Other Database Import
A/NewYork/571/1996	1996-12-18		A/H3N2		  	 Other Database Import
A/NewYork/577/1996	1996-12-24		A/H3N2		  	 Other Database Import
A/NewYork/624/1996	1996-02-16		A/H3N2		  	 Other Database Import
A/NewYork/632/1996	1996-03-01		A/H3N2		  	 Other Database Import
A/NewYork/635/1996	1996-01-18		A/H3N2		  	 Other Database Import
A/NewYork/636/1996	1996-01-22	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/641/1996	1996-01-03		A/H3N2		  	 Other Database Import
A/NewYork/654/1994	1994-11-03		A/H3N2		  	 Other Database Import
A/NewYork/658/1995	1995-02-21		A/H3N2		  	 Other Database Import
A/NewYork/659/1994	1994-12-08		A/H3N2		  	 Other Database Import
A/NewYork/662/1995	1995-01-09		A/H3N2		  	 Other Database Import
A/NewYork/665/1994	1994-12-16		A/H3N2		  	 Other Database Import
A/NewYork/669/1995	1995-01-11		A/H3N2		  	 Other Database Import
A/NewYork/671/1995	1995-01-06		A/H3N2		  	 Other Database Import
A/NewYork/672/1995	1995-01-17		A/H3N2		  	 Other Database Import
A/NewYork/674/1995	1995-01-19		A/H3N2		  	 Other Database Import
A/NewYork/679/1995	1995-03-03		A/H3N2		  	 Other Database Import
A/NewYork/693/1995	1995-03-21		A/H3N2		  	 Other Database Import
A/NewYork/751/1993	1993-11-08		A/H3N2		  	 Other Database Import
A/NewYork/647/1995	1995-12-27		A/H3N2		  	 Other Database Import
A/NewYork/652/1996	1996-04-01		A/H3N2		  	 Other Database Import
A/NewYork/684/1995	1995-01-23		A/H3N2		  	 Other Database Import
A/NewYork/685/1995	1995-02-08		A/H3N2		  	 Other Database Import
A/NewYork/687/1995	1995-02-06		A/H3N2		  	 Other Database Import
A/NewYork/689/1995	1995-01-22		A/H3N2		  	 Other Database Import
A/NewYork/709/1994	1994-01-06		A/H3N2		  	 Other Database Import
A/NewYork/711/1994	1994-01-12		A/H3N2		  	 Other Database Import
A/NewYork/712/1993	1993-12-02		A/H3N2		  	 Other Database Import
A/NewYork/715/1994	1994-07-29		A/H3N2		  	 Other Database Import
A/NewYork/716/1994	1994-01-17		A/H3N2		  	 Other Database Import
A/NewYork/719/1994	1994-01-20		A/H3N2		  	 Other Database Import
A/NewYork/720/1994	1994-01-24		A/H3N2		  	 Other Database Import
A/NewYork/721/1994	1994-01-13		A/H3N2		  	 Other Database Import
A/NewYork/726/1994	1994-02-09		A/H3N2		  	 Other Database Import
A/NewYork/727/1994	1994-01-31		A/H3N2		  	 Other Database Import
A/NewYork/728/1994	1994-02-01		A/H3N2		  	 Other Database Import
A/NewYork/752/1993	1993-12-30		A/H3N2		  	 Other Database Import
A/NewYork/756/1993	1993-02-02		A/H3N2		  	 Other Database Import
A/NewYork/758/1993	1993-02-03		A/H3N2		  	 Other Database Import
A/NewYork/759/1993	1993-03-08		A/H3N2		  	 Other Database Import
A/NewYork/760/1993	1993-02-09		A/H3N2		  	 Other Database Import
A/NewYork/761/1993	1993-03-03		A/H3N2		  	 Other Database Import
A/NewYork/762/1993	1993-02-04		A/H3N2		  	 Other Database Import
A/NewYork/763/1993	1993-03-26		A/H3N2		  	 Other Database Import
A/NewYork/764/1993	1993-02-23		A/H3N2		  	 Other Database Import
A/NewYork/765/1993	1993-03-03		A/H3N2		  	 Other Database Import
A/NewYork/556/1996	1996-11-19		A/H3N2		  	 Other Database Import
A/NewYork/598/1996	1996-12-17		A/H3N2		  	 Other Database Import
A/NewYork/639/1995	1995-12-18		A/H3N2		  	 Other Database Import
A/NewYork/657/1994	1994-12-02		A/H3N2		  	 Other Database Import
A/NewYork/670/1995	1995-01-11		A/H3N2		  	 Other Database Import
A/NewYork/675/1995	1995-01-24		A/H3N2		  	 Other Database Import
A/NewYork/677/1995	1995-02-18		A/H3N2		  	 Other Database Import
A/NewYork/682/1995	1995-03-01		A/H3N2		  	 Other Database Import
A/NewYork/722/1994	1994-03-02		A/H3N2		  	 Other Database Import
A/NewYork/729/1994	1994-02-25		A/H3N2		  	 Other Database Import
A/NewYork/730/1994	1994-01-04		A/H3N2		  	 Other Database Import
A/NewYork/734/1994	1994-01-06		A/H3N2		  	 Other Database Import
A/NewYork/655/1994	1994-11-17		A/H3N2		  	 Other Database Import
A/NewYork/661/1994	1994-12-15		A/H3N2		  	 Other Database Import
A/NewYork/663/1994	1994-12-20		A/H3N2		  	 Other Database Import
A/NewYork/664/1995	1995-03-13		A/H3N2		  	 Other Database Import
A/NewYork/666/1995	1995-02-08		A/H3N2		  	 Other Database Import
A/NewYork/667/1995	1995-01-08		A/H3N2		  	 Other Database Import
A/NewYork/668/1995	1995-02-18		A/H3N2		  	 Other Database Import
A/NewYork/678/1995	1995-01-20		A/H3N2		  	 Other Database Import
A/NewYork/691/1995	1995-01-03		A/H3N2		  	 Other Database Import
A/NewYork/700/1995	1995-02-14		A/H3N2		  	 Other Database Import
A/NewYork/705/1994	1994-01-31		A/H3N2		  	 Other Database Import
A/NewYork/707/1994	1994-02-10		A/H3N2		  	 Other Database Import
A/NewYork/710/1994	1994-02-09		A/H3N2		  	 Other Database Import
A/NewYork/713/1994	1994-02-14		A/H3N2		  	 Other Database Import
A/NewYork/714/1994	1994-01-14		A/H3N2		  	 Other Database Import
A/NewYork/746/1994	1994-02-21		A/H3N2		  	 Other Database Import
A/NewYork/747/1994	1994-01-12		A/H3N2		  	 Other Database Import
A/NewYork/748/1994	1994-01-17		A/H3N2		  	 Other Database Import
A/NewYork/749/1994	1994-01-11		A/H3N2		  	 Other Database Import
A/NewYork/767/1993	1993-04-05		A/H3N2		  	 Other Database Import
A/NewYork/770/1993	1993-03-04		A/H3N2		  	 Other Database Import
A/NewYork/771/1993	1993-04-19		A/H3N2		  	 Other Database Import
A/NewYork/775/1993	1993-03-11		A/H3N2		  	 Other Database Import
A/NewYork/777/1993	1993-03-20		A/H3N2		  	 Other Database Import
A/NewYork/778/1993	1993-02-02		A/H3N2		  	 Other Database Import
A/NewYork/779/1993	1993-02-01		A/H3N2		  	 Other Database Import
A/NewYork/786/1993	1993-03-16		A/H3N2		  	 Other Database Import
A/NewYork/554/1996	1996-11-12		A/H3N2		  	 Other Database Import
A/NewYork/673/1995	1995-01-20		A/H3N2		  	 Other Database Import
A/NewYork/683/1995	1995-03-03		A/H3N2		  	 Other Database Import
A/NewYork/686/1995	1995-02-02		A/H3N2		  	 Other Database Import
A/NewYork/690/1995	1995-01-18		A/H3N2		  	 Other Database Import
A/NewYork/699/1995	1995-02-07		A/H3N2		  	 Other Database Import
A/NewYork/718/1994	1994-02-09		A/H3N2		  	 Other Database Import
A/NewYork/723/1994	1994-01-02		A/H3N2		  	 Other Database Import
A/NewYork/724/1994	1994-01-27		A/H3N2		  	 Other Database Import
A/NewYork/725/1994	1994-01-30		A/H3N2		  	 Other Database Import
A/NewYork/735/1994	1994-01-14		A/H3N2		  	 Other Database Import
A/NewYork/736/1994	1994-01-21		A/H3N2		  	 Other Database Import
A/NewYork/738/1994	1994-02-04		A/H3N2		  	 Other Database Import
A/NewYork/739/1994	1994-02-14		A/H3N2		  	 Other Database Import
A/NewYork/740/1994	1994-01-15		A/H3N2		  	 Other Database Import
A/NewYork/741/1994	1994-03-03		A/H3N2		  	 Other Database Import
A/NewYork/750/1994	1994-01-25		A/H3N2		  	 Other Database Import
A/NewYork/753/1994	1994-02-15		A/H3N2		  	 Other Database Import
A/NewYork/754/1993	1993-01-16		A/H3N2		  	 Other Database Import
A/NewYork/755/1993	1993-03-12		A/H3N2		  	 Other Database Import
A/NewYork/781/1993	1993-03-26		A/H3N2		  	 Other Database Import
A/NewYork/782/1993	1993-04-03		A/H3N2		  	 Other Database Import
A/NewYork/783/1993	1993-04-01		A/H3N2		  	 Other Database Import
A/NewYork/785/1993	1993-03-26		A/H3N2		  	 Other Database Import
A/NewYork/5/2006	2006-04-05		A/H3N2		  	 Other Database Import
A/NewYork/660/1995	1995-03-02		A/H3N2		  	 Other Database Import
A/NewYork/676/1995	1995-01-18		A/H3N2		  	 Other Database Import
A/NewYork/688/1994	1994-12-12		A/H3N2		  	 Other Database Import
A/NewYork/731/1994	1994-03-09		A/H3N2		  	 Other Database Import
A/NewYork/742/1994	1994-01-10		A/H3N2		  	 Other Database Import
A/NewYork/743/1994	1994-01-07		A/H3N2		  	 Other Database Import
A/NewYork/744/1994	1994-01-18		A/H3N2		  	 Other Database Import
A/NewYork/745/1994	1994-02-07		A/H3N2		  	 Other Database Import
A/NewYork/757/1993	1993-03-26		A/H3N2		  	 Other Database Import
A/NewYork/766/1993	1993-02-15		A/H3N2		  	 Other Database Import
A/NewYork/768/1993	1993-03-09		A/H3N2		  	 Other Database Import
A/NewYork/769/1993	1993-03-16		A/H3N2		  	 Other Database Import
A/NewYork/772/1993	1993-03-10		A/H3N2		  	 Other Database Import
A/NewYork/773/1993	1993-03-31		A/H3N2		  	 Other Database Import
A/NewYork/774/1993	1993-02-25		A/H3N2		  	 Other Database Import
A/NewYork/776/1993	1993-02-18		A/H3N2		  	 Other Database Import
A/NewYork/780/1993	1993-03-02		A/H3N2		  	 Other Database Import
A/NewYork/784/1993	1993-04-19		A/H3N2		  	 Other Database Import
A/NewYork/787/1993	1993-03-10		A/H3N2		  	 Other Database Import
A/NewYork/788/1993	1993-02-26		A/H3N2		  	 Other Database Import
A/NewYork/789/1993	1993-04-05		A/H3N2		  	 Other Database Import
A/NewYork/790/1993	1993-02-04		A/H3N2		  	 Other Database Import
A/NewYork/791/1993	1993-03-11		A/H3N2		  	 Other Database Import
A/NewYork/792/1993	1993-03-09		A/H3N2		  	 Other Database Import
A/NewYork/794/1993	1993-03-04		A/H3N2		  	 Other Database Import
A/NewYork/795/1993	1993-02-04		A/H3N2		  	 Other Database Import
A/NewYork/797/1993	1993-03-16		A/H3N2		  	 Other Database Import
A/NewYork/798/1993	1993-03-09		A/H3N2		  	 Other Database Import
A/NewYork/799/1993	1993-03-10		A/H3N2		  	 Other Database Import
A/NewYork/801/1993	1993-03-10		A/H3N2		  	 Other Database Import
A/NewYork/802/1993	1993-03-02		A/H3N2		  	 Other Database Import
A/NewYork/803/1993	1993-03-09		A/H3N2		  	 Other Database Import
A/NewYork/3/2006	2006-03-22		A/H3N2		  	 Other Database Import
A/NewYork/C4/2002	2002-02-01		A/H3N2		  	 Other Database Import
A/NewYork/717/1994	1994-01-19		A/H3N2		  	 Other Database Import
A/NewYork/793/1993	1993-02-02		A/H3N2		  	 Other Database Import
A/NewYork/796/1993	1993-02-18		A/H3N2		  	 Other Database Import
A/NewYork/7/2006	2006-04-05		A/H3N2		  	 Other Database Import
A/NewYork/601/1996	1996-12-09		A/H3N2		  	 Other Database Import
A/NewYork/737/1994	1994-02-03		A/H3N2		  	 Other Database Import
A/NewYork/706/1993	1993-12-30		A/H3N2		  	 Other Database Import
A/NewYork/800/1993	1993-03-11		A/H3N2		  	 Other Database Import
A/NewYork/6/2006	2006-04-06		A/H3N2		  	 Other Database Import
A/NewYork/680/1995	1995-02-08		A/H3N2		  	 Other Database Import
A/NewYork/681/1995	1995-02-20		A/H3N2		  	 Other Database Import
A/NewYork/701/1995	1995-02-23		A/H3N2		  	 Other Database Import
A/NewYork/704/1994	1994-01-03		A/H3N2		  	 Other Database Import
A/NewYork/177/1999	1999-10-25		A/H3N2		  	 Other Database Import
A/NewYork/179/1999	1999-11-24		A/H3N2		  	 Other Database Import
A/NewYork/180/2000	2000-02-09		A/H3N2		  	 Other Database Import
A/NewYork/185/1999	1999-12-25		A/H3N2		  	 Other Database Import
A/NewYork/192/2003	2003-02-04		A/H3N2		  	 Other Database Import
A/NewYork/10/2004	2004-01-30		A/H3N2		  	 Other Database Import
A/NewYork/25/2003	2003-12-16		A/H3N2		  	 Other Database Import
A/NewYork/38/2003	2003-12-21		A/H3N2		  	 Other Database Import
A/NewYork/46/2003	2003-12-09		A/H3N2		  	 Other Database Import
A/NewYork/117/2002	2002-02-01		A/H3N2		  	 Other Database Import
A/NewYork/141/1999	1999-11-09		A/H3N2		  	 Other Database Import
A/NewYork/166/1999	1999-12-24		A/H3N2		  	 Other Database Import
